"match_hometeam_id","match_id","epoch","match_status","match_live","match_hometeam_name","match_awayteam_id","match_awayteam_name","match_hometeam_score","match_awayteam_score","match_hometeam_halftime_score","match_awayteam_halftime_score","match_hometeam_extra_score","match_awayteam_extra_score","match_hometeam_penalty_score","match_awayteam_penalty_score","home_in_list","away_in_list","league_id"
7105,142884,1540407600,"Finished",0,"Barcelona",4189,"Inter",2,0,1,0,1,0,NA,NA,1,1,468
7606,142886,1540407600,"Finished",0,"Galatasaray",3235,"Schalke",0,0,0,0,0,0,NA,NA,1,1,511
4186,143085,1540486500,"Finished",0,"AC Milan",7091,"Betis",1,2,0,1,0,1,NA,NA,1,1,262
3023,143101,1540494000,"Finished",0,"Marseille",4183,"Lazio",1,3,0,1,0,1,NA,NA,1,1,176
3222,143184,1540578600,"Finished",0,"Freiburg",3234,"B. Monchengladbach",3,1,1,1,1,1,NA,NA,1,1,195
3049,143183,1540579500,"Finished",0,"Nimes",3025,"St Etienne",1,1,0,1,0,1,NA,NA,1,1,176
7115,143186,1540580400,"Finished",0,"Valladolid",7090,"Espanyol",1,1,0,1,0,1,NA,NA,1,1,468
4181,143421,1540645200,"Finished",0,"Atalanta",4192,"Parma",3,0,0,0,0,0,NA,NA,1,1,262
7611,144555,1540645200,"Finished",0,"Konyaspor",7615,"Basaksehir",0,1,NA,NA,NA,NA,NA,NA,1,1,511
3230,143416,1540647000,"Finished",0,"Dortmund",3231,"Hertha Berlin",2,2,1,1,1,1,NA,NA,1,1,195
3237,143419,1540647000,"Finished",0,"Mainz",3225,"Bayern Munich",1,2,0,1,0,1,NA,NA,1,1,195
3256,143417,1540647000,"Finished",0,"Dusseldorf",3236,"Wolfsburg",0,3,0,1,0,1,NA,NA,1,1,195
2613,143404,1540648800,"Finished",0,"Brighton",2646,"Wolves",1,0,0,0,0,0,NA,NA,1,1,148
2614,143407,1540648800,"Finished",0,"Southampton",2630,"Newcastle",0,0,0,0,0,0,NA,NA,1,1,148
7104,143429,1540649700,"Finished",0,"Ath Bilbao",7109,"Valencia",0,0,0,0,0,0,NA,NA,1,1,468
3037,143410,1540652400,"Finished",0,"Angers",3026,"Lyon",1,2,0,0,0,0,NA,NA,1,1,176
7608,144556,1540656000,"Finished",0,"Antalyaspor",7605,"Trabzonspor",1,1,1,1,1,1,NA,NA,1,1,511
2611,143409,1540657800,"Finished",0,"Leicester",2620,"West Ham",1,1,0,1,0,1,NA,NA,1,1,148
7095,143430,1540657800,"Finished",0,"Celta Vigo",7096,"Eibar",4,0,2,0,2,0,NA,NA,1,1,468
7097,143431,1540657800,"Finished",0,"Levante",7103,"Leganes",2,0,1,0,1,0,NA,NA,1,1,468
3024,143415,1540663200,"Finished",0,"Toulouse",3034,"Montpellier",0,3,0,2,0,2,NA,NA,1,1,176
3033,143411,1540663200,"Finished",0,"Amiens",3031,"Nantes",1,2,0,1,0,1,NA,NA,1,1,176
3039,143414,1540663200,"Finished",0,"Monaco",3030,"Dijon",2,2,1,1,1,1,NA,NA,1,1,176
4170,143423,1540665000,"Finished",0,"Torino",4173,"Fiorentina",1,1,1,1,1,1,NA,NA,1,1,262
7106,143432,1540665900,"Finished",0,"Atl. Madrid",7101,"Real Sociedad",2,0,1,0,1,0,NA,NA,1,1,468
7604,145632,1540719000,"Finished",0,"Kayserispor",7610,"Sivasspor",2,0,0,0,0,0,NA,NA,1,1,511
7100,144690,1540720800,"Finished",0,"Getafe",7091,"Betis",2,0,0,0,0,0,NA,NA,1,1,468
4175,144680,1540722600,"Finished",0,"Sassuolo",4185,"Bologna",2,2,1,1,1,1,NA,NA,1,1,262
2619,144672,1540729800,"Finished",0,"Crystal Palace",2617,"Arsenal",2,2,1,0,1,0,NA,NA,1,1,148
2629,144671,1540729800,"Finished",0,"Burnley",2616,"Chelsea",0,4,0,1,0,1,NA,NA,1,1,148
3035,144674,1540731600,"Finished",0,"Rennes",3046,"Reims",0,2,0,1,0,1,NA,NA,1,1,176
4179,144682,1540731600,"Finished",0,"Genoa",4180,"Udinese",2,2,1,0,1,0,NA,NA,1,1,262
3226,144678,1540733400,"Finished",0,"RB Leipzig",3235,"Schalke",0,0,0,0,0,0,NA,NA,1,1,195
7618,145633,1540735200,"Finished",0,"Yeni Malatyaspor",7606,"Galatasaray",2,0,1,0,1,0,NA,NA,1,1,511
7105,144691,1540736100,"Finished",0,"Barcelona",7099,"Real Madrid",5,1,2,0,2,0,NA,NA,1,1,468
2627,144673,1540738800,"Finished",0,"Manchester United",2612,"Everton",2,1,1,0,1,0,NA,NA,1,1,148
3038,144675,1540738800,"Finished",0,"Bordeaux",3041,"Nice",0,1,0,0,0,0,NA,NA,1,1,176
3223,144679,1540742400,"Finished",0,"Werder Bremen",3227,"Bayer Leverkusen",2,6,0,3,0,3,NA,NA,1,1,195
4186,144684,1540742400,"Finished",0,"AC Milan",4176,"Sampdoria",3,2,2,2,2,2,NA,NA,1,1,262
7108,144692,1540744200,"Finished",0,"Alaves",7107,"Villarreal",2,1,0,1,0,1,NA,NA,1,1,468
7603,145634,1540744200,"Finished",0,"Fenerbahce",7621,"Ankaragucu",1,3,0,1,0,1,NA,NA,1,1,511
4174,144685,1540751400,"Finished",0,"Napoli",4184,"AS Roma",1,1,0,1,0,1,NA,NA,1,1,262
3023,144676,1540753200,"Finished",0,"Marseille",3040,"Paris SG",0,2,0,0,0,0,NA,NA,1,1,176
7614,145786,1540828800,"Finished",0,"Besiktas",7623,"Rizespor",4,1,2,0,2,0,NA,NA,1,1,511
4183,145698,1540837800,"Finished",0,"Lazio",4189,"Inter",0,3,0,2,0,2,NA,NA,1,1,262
2628,145697,1540839600,"Finished",0,"Tottenham",2626,"Manchester City",0,1,0,1,0,1,NA,NA,1,1,148
3034,145899,1540917900,"Finished",0,"Montpellier",3031,"Nantes",0,3,0,0,0,0,NA,NA,1,1,176
2615,145882,1540925100,"Finished",0,"Bournemouth",2641,"Norwich",2,1,1,0,1,0,NA,NA,1,1,148
3036,145900,1540926300,"Finished",0,"Strasbourg",3022,"Lille",2,0,1,0,1,0,NA,NA,1,1,176
4186,115600,1541010600,"Finished",0,"AC Milan",4179,"Genoa",2,1,1,0,1,0,NA,NA,1,1,262
7189,146292,1541010600,"Finished",0,"Mallorca",7115,"Valladolid",1,2,0,2,0,2,NA,NA,1,1,468
2620,146069,1541011500,"Finished",0,"West Ham",2628,"Tottenham",1,3,0,1,0,1,NA,NA,1,1,148
3226,146120,1541011500,"Finished",0,"RB Leipzig",3233,"Hoffenheim",2,0,0,0,0,0,NA,NA,1,1,195
3234,146118,1541011500,"Finished",0,"B. Monchengladbach",3227,"Bayer Leverkusen",0,5,0,2,0,2,NA,NA,1,1,195
3027,146088,1541012700,"Finished",0,"Metz",3033,"Amiens",1,2,0,1,0,1,NA,NA,1,1,176
7095,146540,1541081700,"Finished",0,"Celta Vigo",7101,"Real Sociedad",1,1,0,0,0,0,NA,NA,1,1,468
7606,146792,1541178000,"Finished",0,"Galatasaray",7603,"Fenerbahce",2,2,1,0,1,0,NA,NA,1,1,511
3040,146608,1541184300,"Finished",0,"Paris SG",3022,"Lille",2,1,0,0,0,0,NA,NA,1,1,176
7619,147899,1541237400,"Finished",0,"Kasimpasa",7608,"Antalyaspor",1,2,1,1,1,1,NA,NA,1,1,511
7103,146844,1541242800,"Finished",0,"Leganes",7106,"Atl. Madrid",1,1,0,0,0,0,NA,NA,1,1,468
2615,146818,1541244600,"Finished",0,"Bournemouth",2627,"Manchester United",1,2,1,1,1,1,NA,NA,1,1,148
4189,146837,1541250000,"Finished",0,"Inter",4179,"Genoa",5,0,NA,NA,NA,NA,NA,NA,1,1,262
3225,146833,1541251800,"Finished",0,"Bayern Munich",3222,"Freiburg",1,1,0,0,0,0,NA,NA,1,1,195
3227,146832,1541251800,"Finished",0,"Bayer Leverkusen",3233,"Hoffenheim",1,4,NA,NA,NA,NA,NA,NA,1,1,195
3236,146835,1541251800,"Finished",0,"Wolfsburg",3230,"Dortmund",0,1,0,1,0,1,NA,NA,1,1,195
2612,146820,1541253600,"Finished",0,"Everton",2613,"Brighton",3,1,NA,NA,NA,NA,NA,NA,1,1,148
2620,146822,1541253600,"Finished",0,"West Ham",2629,"Burnley",4,2,NA,NA,NA,NA,NA,NA,1,1,148
2630,146821,1541253600,"Finished",0,"Newcastle",2623,"Watford",1,0,0,0,0,0,NA,NA,1,1,148
7099,146845,1541254500,"Finished",0,"Real Madrid",7115,"Valladolid",2,0,0,0,0,0,NA,NA,1,1,468
3026,146825,1541257200,"Finished",0,"Lyon",3038,"Bordeaux",1,1,1,0,1,0,NA,NA,1,1,176
7615,147901,1541257200,"Finished",0,"Basaksehir",7614,"Besiktas",1,0,NA,NA,NA,NA,NA,NA,1,1,511
4173,146838,1541260800,"Finished",0,"Fiorentina",4184,"AS Roma",1,1,1,0,1,0,NA,NA,1,1,262
2617,146823,1541262600,"Finished",0,"Arsenal",2621,"Liverpool",1,1,0,0,0,0,NA,NA,1,1,148
3231,146836,1541262600,"Finished",0,"Hertha Berlin",3226,"RB Leipzig",0,3,0,1,0,1,NA,NA,1,1,195
3030,146827,1541268000,"Finished",0,"Dijon",3049,"Nimes",0,4,0,2,0,2,NA,NA,1,1,176
3036,146830,1541268000,"Finished",0,"Strasbourg",3024,"Toulouse",1,1,0,0,0,0,NA,NA,1,1,176
3041,146828,1541268000,"Finished",0,"Nice",3033,"Amiens",1,0,1,0,1,0,NA,NA,1,1,176
3046,146829,1541268000,"Finished",0,"Reims",3039,"Monaco",1,0,1,0,1,0,NA,NA,1,1,176
